date,weekday,marketingcost
180319,월,"₩6,746,804"
180320,화,"₩7,308,654"
180321,수,"₩7,259,837"
180322,목,"₩7,214,162"
180323,금,"₩7,314,631"
180324,토,"₩7,425,244"
180325,일,"₩7,297,429"
180326,월,"₩7,352,348"
180327,화,"₩6,783,996"
180328,수,"₩7,760,864"
180329,목,"₩7,612,769"
180330,금,"₩6,763,810"
180331,토,"₩7,639,690"
180401,일,"₩7,796,948"
180402,월,"₩9,319,605"
180403,화,"₩9,658,268"
180404,수,"₩10,078,277"
180405,목,"₩9,094,718"
180406,금,"₩9,209,629"
180407,토,"₩8,884,683"
180408,일,"₩9,798,525"
180409,월,"₩9,803,441"
180410,화,"₩10,130,745"
180411,수,"₩11,474,395"
180412,목,"₩10,884,265"
180413,금,"₩9,905,285"
180414,토,"₩9,936,310"
180415,일,"₩10,108,759"
180416,월,"₩10,690,561"
180417,화,"₩9,976,627"
180418,수,"₩10,342,187"
180419,목,"₩12,048,654"
180420,금,"₩13,734,392"
180421,토,"₩11,790,757"
180422,일,"₩11,562,392"
180423,월,"₩9,032,048"
180424,화,"₩13,131,017"
180425,수,"₩7,433,064"
180426,목,"₩10,056,081"
180427,금,"₩8,735,531"
180428,토,"₩7,077,626"
180429,일,"₩10,442,355"
180430,월,"₩11,812,656"
180501,화,"₩12,434,307"
180502,수,"₩12,190,893"
180503,목,"₩12,172,632"
180504,금,"₩12,158,491"
180505,토,"₩10,719,653"
180506,일,"₩11,022,352"
180507,월,"₩12,830,732"
180508,화,"₩11,971,675"
180509,수,"₩11,773,214"
180510,목,"₩11,366,923"
180511,금,"₩11,790,958"
180512,토,"₩11,211,108"
180513,일,"₩10,358,979"
180514,월,"₩10,863,952"
180515,화,"₩11,199,306"
180516,수,"₩11,890,638"
180517,목,"₩11,684,210"
180518,금,"₩10,824,918"
180519,토,"₩10,426,701"
180520,일,"₩11,378,540"
180521,월,"₩11,364,279"
180522,화,"₩10,440,364"
180523,수,"₩10,263,829"
180524,목,"₩11,440,478"
180525,금,"₩8,431,652"
180526,토,"₩8,008,579"
180527,일,"₩10,248,958"
180528,월,"₩10,118,524"
180529,화,"₩10,411,309"
180530,수,"₩11,217,458"
180531,목,"₩11,298,663"
180601,금,"₩11,248,185"
180602,토,"₩6,803,618"
180603,일,"₩9,383,899"
180604,월,"₩10,668,315"
180605,화,"₩10,394,074"
180606,수,"₩10,414,553"
180607,목,"₩9,488,135"
180608,금,"₩8,877,645"
180609,토,"₩8,795,833"
180610,일,"₩9,195,352"
180611,월,"₩8,516,971"
180612,화,"₩9,182,975"
180613,수,"₩9,544,320"
180614,목,"₩9,153,008"
180615,금,"₩9,161,146"
180616,토,"₩9,609,874"
180617,일,"₩10,036,237"
180618,월,"₩11,757,174"
180619,화,"₩11,649,544"
180620,수,"₩11,663,299"
180621,목,"₩10,599,082"
180622,금,"₩10,504,999"
180623,토,"₩10,396,919"
180624,일,"₩11,619,068"
180625,월,"₩11,993,551"
180626,화,"₩11,882,879"
180627,수,"₩12,216,613"
180628,목,"₩12,086,762"
180629,금,"₩10,824,795"
180630,토,"₩10,818,578"
180701,일,"₩12,010,926"
180702,월,"₩12,010,971"
180703,화,"₩12,371,016"
180704,수,"₩12,487,998"
180705,목,"₩12,968,840"
180706,금,"₩12,487,191"
180707,토,"₩12,642,186"
180708,일,"₩12,417,685"
180709,월,"₩10,200,739"
180710,화,"₩8,494,343"
180711,수,"₩8,290,285"
180712,목,"₩8,300,420"
180713,금,"₩8,691,028"
180714,토,"₩9,085,896"
180715,일,"₩9,102,317"
180716,월,"₩6,988,582"
180717,화,"₩6,788,383"
180718,수,"₩6,671,412"
180719,목,"₩6,794,422"
180720,금,"₩7,045,749"
180721,토,"₩7,340,923"
180722,일,"₩7,662,811"
180723,월,"₩7,818,165"
180724,화,"₩8,492,091"
180725,수,"₩9,280,098"
180726,목,"₩8,466,217"
180727,금,"₩8,477,641"
180728,토,"₩9,233,710"
180729,일,"₩9,449,367"
180730,월,"₩10,203,866"
180731,화,"₩10,611,309"
180801,수,"₩10,649,423"
180802,목,"₩10,670,095"
180803,금,"₩10,409,820"
180804,토,"₩9,766,749"
180805,일,"₩9,812,762"
180806,월,"₩9,641,333"
180807,화,"₩9,475,433"
180808,수,"₩9,918,652"
180809,목,"₩10,045,447"
180810,금,"₩10,013,126"
180811,토,"₩10,784,561"
180812,일,"₩10,405,524"
180813,월,"₩11,740,466"
180814,화,"₩11,704,377"
180815,수,"₩12,166,053"
180816,목,"₩12,308,803"
180817,금,"₩11,448,722"
180818,토,"₩10,277,680"
180819,일,"₩10,342,203"
180820,월,"₩10,190,477"
180821,화,"₩10,133,601"
180822,수,"₩10,028,263"
180823,목,"₩10,452,301"
180824,금,"₩10,084,717"
180825,토,"₩10,295,663"
180826,일,"₩9,850,042"
180827,월,"₩9,577,872"
180828,화,"₩9,712,533"
180829,수,"₩9,749,561"
180830,목,"₩9,775,345"
180831,금,"₩9,858,910"
180901,토,"₩11,048,198"
180902,일,"₩11,956,115"
180903,월,"₩11,587,533"
180904,화,"₩11,692,767"
180905,수,"₩12,288,053"
180906,목,"₩11,997,350"
180907,금,"₩11,978,591"
180908,토,"₩12,801,466"
